iter	Passed	Remaining
466	727	829
467	728	828
468	729	826
469	730	824
470	731	822
471	732	819
472	734	817
473	735	816
474	737	814
475	738	812
476	739	810
477	741	810
478	742	808
479	745	807
480	746	805
481	748	803
482	748	801
483	750	799
484	751	797
485	752	796
486	753	794
487	757	794
488	758	792
489	760	791
490	761	789
491	763	787
492	764	786
493	765	784
494	766	782
495	767	780
496	768	778
497	772	778
498	774	777
499	775	775
500	777	774
501	778	772
502	780	771
503	782	769
504	783	767
505	784	765
506	787	765
507	789	764
508	790	762
509	791	760
510	792	758
511	793	756
512	794	754
513	795	752
514	796	750
515	798	749
516	802	749
517	804	748
518	805	746
519	809	746
520	810	745
521	811	743
522	813	741
523	817	742
524	818	740
525	820	739
526	821	736
527	822	734
528	823	732
529	824	730
530	825	729
531	826	727
532	827	725
533	828	723
534	832	723
535	834	722
536	835	720
537	837	719
538	838	717
539	839	715
540	840	713
541	841	711
542	842	709
543	845	709
544	847	707
545	849	706
546	851	705
547	852	703
548	853	701
549	855	699
550	856	698
551	857	696
552	862	697
553	864	695
554	866	694
555	867	692
556	868	690
557	870	689
558	871	687
559	873	685
560	875	685
561	876	683
562	878	681
563	879	679
564	880	677
565	881	676
566	882	674
567	884	672
568	885	670
569	886	668
570	887	666
571	889	665
572	891	664
573	893	662
574	894	661
575	895	659
576	896	657
577	897	655
578	898	653
579	899	651
580	901	650
581	902	648
582	904	646
583	905	644
584	906	643
585	907	641
586	908	639
587	909	637
588	910	635
589	911	633
590	912	631
591	913	629
592	914	627
593	915	625
594	916	623
595	918	622
596	919	620
597	920	619
598	922	617
599	923	615
600	924	613
601	925	611
602	926	609
603	927	608
604	928	606
605	929	604
606	930	602
607	931	600
608	934	600
609	935	598
610	936	596
611	937	594
612	938	592
613	939	590
614	940	588
615	941	587
616	942	585
617	943	583
618	944	581
619	946	579
620	947	578
621	949	576
622	950	575
623	951	573
624	952	571
625	953	569
626	954	567
627	955	566
628	957	564
629	958	562
630	959	560
631	960	559
632	961	557
633	962	555
634	964	554
635	965	552
636	966	550
637	967	548
638	968	547
639	969	545
640	970	543
641	971	541
642	972	540
643	973	538
644	975	536
645	977	535
646	978	534
647	979	532
648	980	530
649	982	529
650	983	527
651	984	525
652	985	523
653	986	522
654	987	520
655	988	518
656	989	516
657	991	515
658	992	513
659	993	512
660	995	510
661	996	508
662	997	507
663	998	505
664	1000	503
665	1001	502
666	1002	500
667	1005	499
668	1006	498
669	1008	496
670	1009	495
671	1011	493
672	1012	491
673	1013	490
674	1014	488
675	1015	486
676	1016	484
677	1017	483
678	1018	481
679	1020	480
680	1021	478
681	1022	476
682	1023	475
683	1024	473
684	1025	471
685	1026	469
686	1027	468
687	1028	466
688	1029	464
689	1031	463
690	1032	461
691	1034	460
692	1035	458
693	1037	457
694	1038	455
695	1040	454
696	1041	452
697	1042	450
698	1043	449
699	1044	447
700	1045	445
701	1046	444
702	1047	442
703	1049	441
704	1050	439
705	1053	438
706	1055	437
707	1057	436
708	1058	434
709	1059	432
710	1060	430
711	1061	429
712	1062	427
713	1065	426
714	1067	425
715	1068	423
716	1069	422
717	1070	420
718	1071	418
719	1072	417
720	1073	415
721	1074	413
722	1075	412
723	1076	410
724	1078	409
725	1079	407
726	1081	406
727	1082	404
728	1083	402
729	1084	401
730	1085	399
731	1086	397
732	1087	396
733	1088	394
734	1089	392
735	1090	391
736	1091	389
737	1093	388
738	1095	386
739	1096	385
740	1097	383
741	1098	381
742	1099	380
743	1100	378
744	1101	377
745	1102	375
746	1103	373
747	1104	372
748	1106	370
749	1107	369
750	1108	367
751	1109	366
752	1110	364
753	1111	362
754	1112	361
755	1113	359
756	1114	357
757	1115	356
758	1116	354
759	1117	353
760	1119	351
761	1120	349
762	1121	348
763	1122	346
764	1124	345
765	1125	343
766	1126	342
767	1127	340
768	1128	338
769	1128	337
770	1129	335
771	1130	333
772	1131	332
773	1132	330
774	1133	329
775	1134	327
776	1135	325
777	1136	324
778	1137	322
779	1138	321
780	1139	319
781	1140	317
782	1141	316
783	1142	314
784	1143	313
785	1144	311
786	1145	309
787	1146	308
788	1146	306
789	1147	305
790	1148	303
791	1150	302
792	1151	300
793	1152	299
794	1153	297
795	1154	295
796	1155	294
797	1156	292
798	1157	291
799	1157	289
800	1158	287
801	1159	286
802	1160	284
803	1161	283
804	1162	281
805	1163	279
806	1165	278
807	1166	277
808	1167	275
809	1168	274
810	1169	272
811	1170	271
812	1171	269
813	1172	267
814	1173	266
815	1174	264
816	1175	263
817	1176	261
818	1177	260
819	1178	258
820	1180	257
821	1181	255
822	1183	254
823	1184	252
824	1185	251
825	1186	249
826	1187	248
827	1188	246
828	1188	245
829	1189	243
830	1190	242
831	1191	240
832	1192	239
833	1193	237
834	1195	236
835	1196	234
836	1197	233
837	1198	231
838	1199	230
839	1200	228
840	1201	227
841	1202	225
842	1203	224
843	1204	222
844	1205	221
845	1206	219
846	1207	218
847	1208	216
848	1209	215
849	1210	213
850	1211	212
851	1212	210
852	1213	209
853	1214	207
854	1215	206
855	1216	204
856	1217	203
857	1218	201
858	1219	200
859	1220	198
860	1221	197
861	1222	195
862	1223	194
863	1225	192
864	1226	191
865	1227	189
866	1228	188
867	1229	186
868	1230	185
869	1230	183
870	1231	182
871	1232	180
872	1233	179
873	1234	178
874	1235	176
875	1236	175
876	1237	173
877	1238	172
878	1240	170
879	1241	169
880	1242	167
881	1242	166
882	1244	164
883	1245	163
884	1246	161
885	1246	160
886	1247	158
887	1248	157
888	1249	156
889	1250	154
890	1251	153
891	1253	151
892	1254	150
893	1255	148
894	1256	147
895	1257	145
896	1258	144
897	1259	143
898	1260	141
899	1261	140
900	1262	138
901	1263	137
902	1264	135
903	1265	134
904	1267	133
905	1268	131
906	1270	130
907	1271	128
908	1272	127
909	1273	125
910	1274	124
911	1275	123
912	1276	121
913	1277	120
914	1278	118
915	1279	117
916	1281	115
917	1282	114
918	1283	113
919	1284	111
920	1285	110
921	1286	108
922	1287	107
923	1288	105
924	1289	104
925	1289	103
926	1290	101
927	1291	100
928	1292	98
929	1293	97
930	1294	95
931	1296	94
932	1297	93
933	1298	91
934	1299	90
935	1300	88
936	1301	87
937	1302	86
938	1303	84
939	1303	83
940	1304	81
941	1305	80
942	1306	78
943	1307	77
944	1309	76
945	1310	74
946	1312	73
947	1313	72
948	1314	70
949	1315	69
950	1315	67
951	1316	66
952	1317	64
953	1318	63
954	1319	62
955	1320	60
956	1321	59
957	1322	57
958	1323	56
959	1324	55
960	1325	53
961	1326	52
962	1327	51
963	1328	49
964	1329	48
965	1330	46
966	1331	45
967	1332	44
968	1333	42
969	1334	41
970	1335	39
971	1336	38
972	1337	37
973	1339	35
974	1340	34
975	1341	32
976	1342	31
977	1343	30
978	1344	28
979	1345	27
980	1346	26
981	1347	24
982	1348	23
983	1349	21
984	1350	20
985	1351	19
986	1352	17
987	1354	16
988	1355	15
989	1356	13
990	1357	12
991	1358	10
992	1359	9
993	1360	8
994	1361	6
995	1362	5
996	1363	4
997	1364	2
998	1365	1
999	1366	0
